"Source:","C:\Users\Steve\Documents\Sack Lunch VCO\Sack Lunch VCO.kicad_sch"
"Date:","1/26/2022 9:38:41 PM"
"Tool:","Eeschema (6.0.0)"
"Generator:","E:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","63"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","47u","Device:C_Polarized_Small","","~"
"","","C2","0.1UF","Device:C_Small","","~"
"","","C3","10 NF","Device:C_Small","","~"
"","","C4","47u","Device:C_Polarized_Small","","~"
"","","C5","10 NF","Device:C_Small","","~"
"","","C6","0.1 UF","Device:C_Small","","~"
"","","C7","1 NF","Device:C_Small","","~"
"","","C8","0.1 UF","Device:C_Small","","~"
"","","C9","0.1 UF","Device:C_Small","","~"
"","","C10","47u","Device:C_Polarized_Small","","~"
"","","C11","10 NF","Device:C_Small","","~"
"","","C12","10 NF","Device:C_Small","","~"
"","","C13","10u","Device:C_Polarized_Small","","~"
"","","C14","10u","Device:C_Polarized_Small","","~"
"","","C15","0.1UF","Device:C_Small","","~"
"","","C16","0.1UF","Device:C_Small","","~"
"","","D1","LED","Device:LED","","~"
"","","J1","FM","Connector:AudioJack2_Ground","","~"
"","","J2","PWM","Connector:AudioJack2_Ground","","~"
"","","J3","SYNC","Connector:AudioJack2_Ground","","~"
"","","J4","V/OCT","Connector:AudioJack2_Ground","","~"
"","","J5","PULSE","Connector:AudioJack2_Ground","","~"
"","","J6","TRI","Connector:AudioJack2_Ground","","~"
"","","J7","SAW","Connector:AudioJack2_Ground","","~"
"","","J8","Conn_01x10","Connector_Generic:Conn_01x10","","~"
"","","R1","10K","Device:R","","~"
"","","R2","2.2M","Device:R","","~"
"","","R3","100K","Device:R","","~"
"","","R4","620R","Device:R","","~"
"","","R5","47k","Device:R","","~"
"","","R6","100K","Device:R","","~"
"","","R7","24k","Device:R","","~"
"","","R8","5.6k","Device:R","","~"
"","","R9","5.6M","Device:R","","~"
"","","R10","10K","Device:R","","~"
"","","R11","470R","Device:R","","~"
"","","R12","100K","Device:R","","~"
"","","R13","1.8k","Device:R","","~"
"","","R14","100K","Device:R","","~"
"","","R15","150K","Device:R","","~"
"","","R16","1.5M","Device:R","","~"
"","","R17","470R","Device:R","","~"
"","","R18","1M","Device:R","","~"
"","","R19","10K","Device:R","","~"
"","","R20","COURSE TUNE","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_CircularHoles","~"
"","","R21","FINE TUNE","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_CircularHoles","~"
"","","R22","10R","Device:R","","~"
"","","R23","150K","Device:R","","~"
"","","R24","200K","Device:R","","~"
"","","R25","100K","Device:R","","~"
"","","R26","100K","Device:R","","~"
"","","R27","RL","Device:R","","~"
"","","R28","1K","Device:R","","~"
"","","R29","1K","Device:R","","~"
"","","R30","1K","Device:R","","~"
"","","R31","FM AMOUNT","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_CircularHoles","~"
"","","R32","10R","Device:R","","~"
"","","R33","PWM AMOUNT","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_CircularHoles","~"
"","","RP1","20k","Device:R_Potentiometer_Trim_US","","~"
"","","RP2","20k","Device:R_Potentiometer_Trim_US","","~"
